,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,BBC News,https://www.facebook.com/bbcnews,Por que estamos cada vez mais deprimidos?,"Não sabemos as causas exatas da depressão, mas já há estudos suficientes sobre fatores de risco.",https://www.bbc.com/portuguese/geral-61961721,https://ichef.bbci.co.uk/news/1024/branded_portuguese/838D/production/_121777633_gettyimages-153360650.jpg,2022-06-28T09:54:24Z,"<ul><li>The Conversation*</li><li>Fernando Lino Vázquez González</li></ul>
Crédito, Getty Images
Legenda da foto, Não sabemos as causas exatas da depressão, mas já há estudos suficientes sobre fato… [+8310 chars]"
1,globo,Globo,,Brasil está ‘confortável’ com textos à mesa para negociações de acordos na OMC,"O Brasil está “confortável” com os textos colocados na mesa para os ministros negociarem resultados concretos em agricultura e segurança alimentar, comércio e saúde, subsídios à pesca e reforma da OMC, na conferência da Organização Mundial do Comércio. 
A con…",https://valor.globo.com/mundo/noticia/2022/06/12/brasil-est-confortvel-com-textos-mesa-para-negociaes-de-acordos-na-omc.ghtml,https://s2.glbimg.com/duco_IDJj3m-Cn9iVhEQaPg2riA=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2021/1/S/wUiw3JQzasRkA8Oc7hAg/75548553-pa-20barreiras-20ba-2026-02-2018-20-20colheita-20de-20soja-20em-20fazenda-20de-20barreiras-20grandes-20fazendas-20como.jpg,2022-06-12T15:38:06Z,"O Brasil está confortável com os textos colocados na mesa para os ministros negociarem resultados concretos em agricultura e segurança alimentar, comércio e saúde, subsídios à pesca e reforma da OMC,… [+4637 chars]"
2,,Canaltech.com.br,Augusto Dala Costa,Inteligência artificial ajuda a detectar doença de Chagas por fotos de celular,"Cientistas brasileiros inventaram um método para detectar a doença de Chagas utilizando o celular e inteligência artificial, diminuindo o custo e facilitando o processo de obter imagens para o exame. O Trypanosoma cruzi, protozoário que causa a condição, pôde…",https://canaltech.com.br/saude/inteligencia-artificial-ajuda-a-detectar-doenca-de-chagas-por-fotos-de-celular-217923/,https://t.ctcdn.com.br/jBW9ssvlohioA-CO-DxD06pV0os=/1400x788/smart/i582840.jpeg,2022-06-02T21:30:00Z,"Cientistas brasileiros inventaram um método para detectar a doença de Chagas utilizando o celular e inteligência artificial, diminuindo o custo e facilitando o processo de obter imagens para o exame.… [+2869 chars]"
3,,Uol.com.br,,,"O governo brasileiro defendeu neste domingo que a comunidade internacional encontre uma forma de fechar um acordo para garantir a estabilidade dos mercados de alimentos. A proposta foi feita pelo chanceler Carlos França, num vídeo gravado para a abertu",https://noticias.uol.com.br/colunas/jamil-chade/2022/06/12/diante-da-fome-paises-se-desentendem-brasil-quer-regras-contra-distorcoes.htm,https://conteudo.imguol.com.br/c/noticias/e3/2022/05/18/o-ministro-carlos-franca-foi-elogiado-por-bagley-1652902033596_v2_615x300.jpg,2022-06-12T15:41:07Z,O governo brasileiro defendeu neste domingo que a comunidade internacional encontre uma forma de fechar um acordo para garantir a estabilidade dos mercados de alimentos. A proposta foi feita pelo cha… [+9254 chars]
4,,Uol.com.br,Ed Rodrigues,,"Depois de aprender inglês por conta própria, estudar em escolas públicas e ter bolsa em colégios particulares, a estudante mineira Sofia Santos de Oliveira, 18 anos, realizou um sonho: foi aprovada em três das faculdades mais conceituadas dos Estados Unid",https://www.uol.com.br/universa/noticias/redacao/2022/06/16/jovem-mineira-ganha-bolsa-integral-em-harvard-jornada-trabalhosa-e-feliz.htm,https://conteudo.imguol.com.br/c/entretenimento/e2/2022/06/16/a-mineira-sofia-santos-de-oliveira-18-anos-que-conseguiu-uma-bolsa-integral-em-harvard-1655405330283_v2_615x300.jpg,2022-06-17T00:41:37Z,"Depois de aprender inglês por conta própria, estudar em escolas públicas e ter bolsa em colégios particulares, a estudante mineira Sofia Santos de Oliveira, 18 anos, realizou um sonho: foi aprovada e… [+6668 chars]"
5,,Sputnik International,Sputnik Brasil,Brasil propõe acordo global para estabilizar mercado de alimentos,O governo brasileiro defendeu neste domingo (12) que a comunidade internacional encontre uma forma de fechar um acordo para garantir a estabilidade dos mercados de alimentos.,https://br.sputniknews.com/20220612/brasil-propoe-acordo-global-para-estabilizar-mercado-de-alimentos--23050565.html,https://cdnnbr1.img.sputniknews.com/images/sharing/article/por/23050565.jpg?219249251655052232,2022-06-12T16:41:28Z,"Notícias sobre eventos de todo o mundo. Siga informado sobre tudo o que se passa em diferentes regiões do planeta.
https://br.sputniknews.com/20220612/brasil-propoe-acordo-global-para-estabilizar-me… [+6196 chars]"
6,,DW (English),Deutsche Welle,África tem as 10 crises de refugiados mais negligenciadas do mundo,"Crises mais ignoradas do mundo são no continente africano. Estudo denuncia ""ciclo vicioso de negligência política, cobertura limitada da mídia, cansaço dos doadores e necessidades humanitárias cada vez mais profundas"".",https://www.dw.com/pt-br/%C3%A1frica-tem-as-10-crises-de-refugiados-mais-negligenciadas-do-mundo/a-62014613,https://static.dw.com/image/61927276_6.jpg,2022-06-02T18:20:00Z,"Dez nações africanas encabeçam uma lista de países onde o sofrimento humano devido a deslocamentos e conflitos é negligenciado internacionalmente, de acordo com uma classificação anual do Conselho No… [+3672 chars]"
7,,R7.com,Agência Estado - Economia,"Em conferência da OMC, Brasil defende pacote de segurança alimentar",O ministro Carlos Alberto Franco França destacou o 'compromisso inabalável' com a OMC e o sistema de comércio multilateral,http://noticias.r7.com/economia/em-conferencia-da-omc-brasil-defende-pacote-de-seguranca-alimentar-12062022,https://img.r7.com/images/ministro-das-relacoes-exteriores-carlos-alberto-franco-franca-06052021142714337?dimensions=677x369&,2022-06-12T21:40:47Z,"O ministro das Relações Exteriores, Carlos Alberto Franco França
 Leopoldo Silva/Agência Senado-06/05/2021
 




 

O ministro das Relações Exteriores do Brasil, Carlos Alberto Franco França, defend… [+1921 chars]"
8,,R7.com,Do R7,"Crescimento do PIB, liberdade a Elize Matsunaga e recorde de queimadas marcam a semana",Relembre os acontecimentos que marcaram o Brasil e o mundo entre os dias 29 de maio e 4 de junho de 2022,http://noticias.r7.com/economia/fotos/crescimento-do-pib-liberdade-a-elize-matsunaga-e-recorde-de-queimadas-marcam-a-semana-04062022,https://img.r7.com/images/mecanico-setor-de-servicos-troca-de-oleo-12052022062408977?dimensions=1280x853,2022-06-04T05:00:18Z,"Impulsionado pelo setor de serviços, o PIB (Produto Interno Bruto) — soma de todos os bens e serviços produzidos — brasileiro alcançou R$ 2,249 trilhões no primeiro trimestre de 2022, resultado 1% su… [+14675 chars]"
9,,R7.com,"Hysa Conrado, do R7",O que você precisa saber agora que a varíola do macaco já tem transmissão comunitária no Brasil,Especialistas explicam o que ainda é um mistério sobre a doença e quais cuidados devem ser tomados no cenário atual,https://noticias.r7.com/saude/o-que-voce-precisa-saber-agora-que-a-variola-do-macaco-ja-tem-transmissao-comunitaria-no-brasil-30062022,https://img.r7.com/images/variola-macaco-14062022154246813?dimensions=677x677&,2022-06-30T05:00:00Z,"Bolhas causadas pela varíola do macaco 
 Reprodução/NHS England High Consequence Infectious Diseases Network
 




 

O status da varíola do macaco no Brasil é de transmissão comunitária, o que sign… [+6899 chars]"
